Depth,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Phaeo-pigments (μg/L),Salinity (psu),Silica (mg/L),Secchi Disc Depth (M),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),label
0,nan,0.18,5.9,76.0,1400.0,1500,0.038,0.046,0.034,1.4,31.8,0.47,2.7,1.5,18.2,0.26,0.88,0.96,0.1,2.3,0.01,1.0,drinkable
1,nan,0.058,5.1,79.0,,nan,0.017,0.037,0.017,0.9,32.0,0.41,2.7,2.0,18.1,0.11,0.65,0.7,0.11,2.3,0.004,1.0,drinkable
2,nan,0.029,7.4,,170.0,200,0.016,0.034,0.012,1.4,32.2,0.41,2.7,2.5,17.8,0.08,0.57,0.62,0.06,2.0,0.002,1.0,non consumable
0,1,0.19,2.3,,1700.0,2100,0.019,0.051,0.035,0.5,32.3,0.87,2.8,16.0,17.8,0.26,0.84,0.91,0.08,2.5,0.005,7.0,non consumable
1,1.1,0.17,1.3,,2000.0,2100,0.018,0.047,0.035,1.5,32.5,0.76,2.8,36.0,17.5,0.24,0.69,0.76,0.05,3.6,0.004,11.0,non consumable
2,0.4,0.078,1.1,,430.0,450,0.016,0.046,0.021,0.5,32.5,0.84,2.8,11.0,17.5,0.14,0.5,0.56,0.06,3.8,0.002,5.5,non consumable
0,0.9,0.15,1.3,80.0,4000.0,4400,0.081,0.043,0.034,0.8,32.8,0.75,2.3,2.0,17.3,0.27,0.45,0.57,0.09,4.8,0.005,1.5,drinkable
1,0.9,0.13,1.3,78.0,2300.0,2400,0.064,0.036,0.037,0.5,32.9,0.73,2.3,9.5,17.3,0.23,0.45,0.55,0.06,3.6,0.005,4.0,drinkable
2,1,0.16,1.1,82.0,2900.0,3000,0.07,0.037,0.06,0.5,32.8,0.07,2.3,10.0,17.3,0.27,0.66,0.77,0.41,5.4,0.006,4.0,drinkable
0,1.1,0.22,1.9,70.0,700.0,1100,0.032,0.066,0.03,1.0,32.6,0.91,,5.0,16.5,0.32,0.63,0.73,0.07,3.2,0.004,2.5,drinkable
1,1,0.2,1.1,68.0,1000.0,1300,0.065,0.071,0.039,1.0,32.4,0.89,,5.5,16.3,0.34,0.62,0.76,0.06,3.2,0.004,3.0,drinkable
2,1.2,0.19,1.1,67.0,2000.0,2500,0.064,0.083,0.04,0.2,32.4,0.86,,5.5,16.3,0.34,0.64,0.79,0.09,3.0,0.004,2.0,drinkable
0,1.3,0.26,1.0,58.0,2700.0,2900,0.022,0.1,0.055,0.2,31.6,1.2,3.0,10.0,15.0,0.38,1.3,1.42,0.2,2.2,0.004,6.5,good for marine life
1,0.9,0.23,1.1,60.0,6300.0,7400,0.019,0.1,0.04,0.2,31.7,1.2,3.0,15.0,14.9,0.35,1.2,1.32,0.12,2.0,0.004,3.5,good for marine life
2,0.7,0.2,2.1,63.0,5400.0,5700,0.021,0.1,0.039,0.2,31.8,1.4,3.0,17.0,14.8,0.32,1.0,1.12,0.11,2.6,0.003,3.5,drinkable
0,0.7,0.22,0.2,63.0,3900.0,4800,0.002,0.079,0.048,0.9,31.8,1.2,2.8,30.0,16.2,0.3,1.1,1.18,0.14,4.2,0.007,12.0,drinkable
1,1,0.19,0.2,63.0,3000.0,3200,0.003,0.078,0.047,0.3,31.7,1.2,2.8,7.0,16.2,0.27,0.93,1.01,0.1,4.0,0.005,3.5,drinkable
2,0.8,0.17,0.8,65.0,900.0,900,0.003,0.077,0.043,0.2,31.7,1.1,2.8,20.0,16.1,0.25,0.95,1.03,0.11,6.0,0.004,8.5,drinkable
0,0.9,0.24,1.0,67.0,2700.0,3000,0.002,0.061,0.036,0.2,32.2,0.91,2.3,2.0,17.2,0.3,0.62,0.68,0.07,4.9,0.005,1.0,drinkable
1,0.8,0.22,0.6,69.0,1000.0,1600,0.002,0.066,0.038,0.2,32.4,0.92,2.3,5.5,17.0,0.29,0.7,0.77,0.06,8.2,0.006,1.0,drinkable
2,0.9,0.23,0.4,68.0,1600.0,1700,0.002,0.063,0.036,0.2,32.4,0.93,2.3,3.0,17.0,0.3,0.93,1.0,0.06,4.5,0.006,1.5,drinkable
0,0.9,0.26,0.8,53.0,6700.0,7200,0.057,0.1,0.059,0.2,32.3,1.0,2.5,2.5,19.8,0.42,1.1,1.26,0.1,6.5,0.007,2.0,good for marine life
1,0.7,0.22,1.1,53.0,7900.0,8600,0.051,0.098,0.056,0.2,32.6,1.0,2.5,1.0,19.7,0.37,1.0,1.15,0.07,7.1,0.005,1.0,good for marine life
2,0.8,0.21,0.5,60.0,6300.0,6900,0.052,0.086,0.049,0.2,32.8,0.94,2.5,3.0,19.8,0.35,0.83,0.97,0.05,13.0,0.006,0.5,good for marine life
0,1.9,0.14,1.1,48.0,1700.0,1800,0.063,0.077,0.063,0.2,32.3,0.98,2.3,5.0,23.1,0.28,0.87,1.01,0.11,5.8,0.004,2.5,good for marine life
1,1.5,0.17,0.8,45.0,2600.0,2900,0.068,0.073,0.066,0.7,32.5,0.92,2.3,7.0,23.0,0.31,0.83,0.97,0.09,7.4,0.005,2.5,good for marine life
2,1.4,0.15,0.8,47.0,4800.0,4800,0.082,0.071,0.062,0.6,32.7,0.94,2.3,9.5,22.9,0.3,0.97,1.12,0.12,7.4,0.004,2.0,good for marine life
0,0.8,0.34,18.0,40.0,2300.0,2400,0.013,0.036,0.055,3.8,32.4,0.75,1.9,2.0,24.7,0.39,0.94,0.99,0.14,6.8,0.011,1.0,non consumable
1,1,0.34,14.0,38.0,2400.0,2600,0.013,0.037,0.056,7.0,32.6,0.75,1.9,5.0,24.6,0.39,1.1,1.15,0.1,7.4,0.011,1.5,non consumable
2,0.9,0.32,16.0,41.0,2700.0,3300,0.012,0.035,0.05,3.4,32.8,0.73,1.9,7.5,24.5,0.37,1.0,1.05,0.11,8.3,0.011,1.5,non consumable
0,1,0.27,2.7,51.0,8900.0,10000,0.012,0.046,0.035,0.7,32.7,0.67,2.2,3.5,26.0,0.33,0.92,0.98,0.08,9.2,0.01,1.5,good for marine life
1,1.9,0.23,1.1,49.0,5000.0,5600,0.013,0.052,0.038,1.0,32.7,0.66,2.2,5.0,25.9,0.3,0.75,0.82,0.07,10.8,0.008,1.0,good for marine life
2,1,0.27,1.1,50.0,3300.0,4300,0.011,0.039,0.045,1.5,32.9,0.65,2.2,5.0,25.8,0.32,0.82,0.87,0.07,12.4,0.009,1.5,good for marine life
0,1.5,0.031,10.0,83.0,5000.0,5600,0.01,0.09,0.005,4.0,28.5,0.17,1.5,5.0,28.5,0.13,0.43,0.53,0.04,8.8,0.003,1.5,drinkable
1,1.5,0.1,9.2,63.0,19000.0,19000,0.01,0.071,0.016,4.5,29.9,0.21,1.5,7.5,28.1,0.18,0.53,0.61,0.22,12.0,0.007,2.0,good for marine life
2,1.5,0.098,8.8,,22000.0,23000,0.01,0.065,0.018,3.8,,0.17,1.5,10.0,,0.17,0.51,0.59,0.06,14.5,,2.0,non consumable
0,1.2,0.19,3.6,65.0,6000.0,6900,0.042,0.097,0.035,2.5,30.0,1.5,1.5,4.0,26.2,0.33,0.64,0.78,0.07,4.5,0.01,2.0,good for marine life
1,0.9,0.22,2.3,54.0,5900.0,7100,0.041,0.089,0.034,1.0,31.0,1.3,1.5,14.0,25.5,0.35,0.65,0.78,0.08,5.5,0.011,5.0,good for marine life
2,1,0.2,1.5,60.0,8500.0,9100,0.033,0.068,0.032,1.4,33.5,1.2,1.5,6.5,23.6,0.3,0.72,0.82,0.08,7.0,0.008,2.0,good for marine life
0,1.1,0.048,16.0,86.0,2100.0,2800,0.025,0.035,0.005,9.6,30.5,0.18,1.5,9.0,25.7,0.11,0.52,0.58,0.04,6.0,0.003,4.0,drinkable
1,0.9,0.13,8.2,59.0,7300.0,9000,0.026,0.037,0.02,9.7,31.5,0.42,1.5,9.5,24.9,0.19,0.56,0.62,0.03,5.3,0.006,3.5,good for marine life
2,0.8,0.12,7.6,43.0,15000.0,17000,0.025,0.035,0.03,4.9,32.4,0.48,1.5,9.0,24.1,0.18,0.59,0.65,0.06,7.6,0.005,3.0,non consumable
0,1.8,0.006,31.0,103.0,1500.0,1600,0.002,0.052,0.005,8.6,26.9,0.14,1.1,5.0,27.0,0.06,0.47,0.52,0.04,5.0,0.001,2.0,drinkable
1,0.5,0.005,0.6,59.0,8200.0,9100,0.009,0.029,0.008,1.2,33.8,0.88,1.1,6.5,22.2,0.04,0.37,0.41,0.03,10.1,0.001,1.5,good for marine life
2,0.4,0.005,4.4,,11000.0,12000,0.021,0.042,0.009,1.8,,0.78,1.1,5.5,,0.07,0.47,0.53,0.05,4.0,,2.0,non consumable
0,2.3,0.16,27.0,66.0,1700.0,1700,0.019,0.053,0.015,12.0,30.9,0.05,2.2,4.5,26.2,0.23,0.73,0.8,0.05,4.9,0.012,1.5,good for marine life
1,1.8,0.26,12.0,40.0,2700.0,2800,0.028,0.068,0.029,8.6,32.1,0.14,2.2,4.5,24.8,0.36,0.66,0.76,0.04,3.7,0.014,1.5,non consumable
2,1.6,0.24,6.5,44.0,2700.0,3100,0.021,0.051,0.03,14.0,33.9,0.17,2.2,6.5,22.8,0.31,0.69,0.76,0.07,5.1,0.011,1.5,good for marine life
0,4.4,0.006,23.0,129.0,300.0,300,0.034,0.084,0.005,41.0,27.3,0.05,0.9,7.5,25.2,0.12,0.65,0.77,0.06,9.0,0.001,2.0,good for marine life
1,0.6,0.075,2.9,46.0,7400.0,8200,0.057,0.047,0.022,2.7,33.8,0.88,0.9,4.5,21.3,0.18,0.23,0.33,0.04,8.5,0.004,1.0,good for marine life
