Depth,Ammonia Nitrogen (mg/L),Dissolved Oxygen (%saturation),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Temperature (°C),Suspended Solids (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),pH
Surface Water,0.053,113,270,0.12,0.014,0.018,19.5,3,0.9,0.07,<0.001,0.6,0.19,0.77,0.6,8.6,7.1
Middle Water,0.04,94,190,0.11,0.01,0.017,19.5,3.4,0.8,0.07,0.002,0.6,0.16,0.68,0.5,7.1,8.2
Bottom Water,0.048,94,140,0.11,0.01,0.018,19.5,3.4,1.03,0.07,0.002,0.6,0.17,0.91,0.4,7.2,8.1
Surface Water,0.096,85,120,0.04,0.008,0.017,19.4,8.5,0.79,0.04,0.004,1.8,0.14,0.74,1.8,6.4,8.2
Middle Water,0.067,93,130,0.029,0.007,0.013,19.4,2.4,0.43,0.03,0.003,0.5,0.1,0.39,2.4,7.1,8.2
Bottom Water,0.074,95,130,0.033,0.007,0.013,19.3,3.6,0.35,0.04,0.003,1.1,0.11,0.31,1.9,7.2,8.2
Surface Water,0.091,91,150,0.052,0.008,0.012,22.2,8.5,0.76,0.03,0.001,1.3,0.15,0.7,0.3,6.5,7.6
Middle Water,0.089,84,240,<0.002,0.003,0.009,22.2,8.1,0.69,0.03,0.001,1.2,0.09,0.68,<0.2,6.1,7.6
Bottom Water,0.077,91,230,0.049,0.006,0.015,22.3,12,0.7,0.03,0.001,1.5,0.13,0.64,0.2,6.5,7.7
Surface Water,0.11,95,260,0.083,0.011,0.003,24.4,12,0.35,0.02,0.003,2.4,0.2,0.26,4.3,6.5,7.8
Middle Water,0.07,81,110,0.023,<0.002,0.007,23.6,11,0.42,0.03,0.003,1.7,0.1,0.39,1.8,5.7,8.1
